36005000200,-3.4104
36005000400,0.91016
36005001600,-1.3344
36005001900,-0.055654
36005002000,-1.1308
36005002300,-0.13502
36005002400,0.56284
36005002500,-0.26741
36005002701,-1.339
36005002702,-0.83976
36005002800,-1.3491
36005003100,-0.01325
36005003300,0.62389
36005003500,-0.77425
36005003700,0.47619
36005003800,-3.8462
36005003900,-0.19479
36005004001,-1.1058
36005004100,-0.16233
36005004200,-1.2225
36005004300,-1.0728
36005004400,-1.0326
36005004600,-0.99849
36005004800,0.51326
36005005001,-0.50491
36005005002,-0.75682
36005005100,-0.048294
36005005200,0.32703
36005005300,-0.015957
36005005400,-0.44614
36005005600,0.47957
36005005902,-0.0077
36005006000,1.0003
36005006100,0.58961
36005006200,-1.0382
36005006300,0.18598
36005006400,-0.61356
36005006500,-0.40495
36005006700,-1.0706
36005006800,-1.5745
36005006900,-0.53898
36005007000,0.20757
36005007100,-0.51537
36005007200,-0.041987
36005007300,-1.4656
36005007400,-0.039767
36005007500,-0.2215
36005007600,-0.16157
36005007700,-0.30323
36005007800,-0.24022
36005007900,-0.68077
36005008300,0.16785
36005008400,-2.3896
36005008500,-1.142
36005008600,-2.0217
36005008700,-1.0068
36005008900,-0.97385
36005009000,-0.55007
36005009200,-0.21171
36005009300,-0.01651
36005009600,-0.67359
36005009800,-1.4229
36005011000,0.011509
36005011502,0.49248
36005011700,-0.1395
36005011800,-0.28712
36005011900,-0.72965
36005012101,-0.94883
36005012102,1.1581
36005012300,-0.89539
36005012500,-0.16848
36005012701,-0.18589
36005012901,0.17604
36005013000,-2.7489
36005013100,-1.0389
36005013200,-0.39685
36005013300,-2.8342
36005013500,0.83032
36005013800,-2.7367
36005014100,1.8937
36005014300,-0.75244
36005014400,-2.4482
36005014500,-0.046745
36005014701,-0.97719
36005014702,0.5157
36005014900,0.030142
36005015100,-1.023
36005015200,-1.1372
36005015300,-0.77942
36005015500,-1.4341
36005015700,-0.47653
36005015800,-0.42004
36005015900,-0.075316
36005016000,-1.1134
36005016100,-0.42939
36005016200,-0.94558
36005016400,-1.1331
36005016500,-0.7436
36005016600,-0.16623
36005016700,-0.97492
36005016900,0.28122
36005017300,0.11171
36005017500,-1.0156
36005017701,-1.8047
36005017702,-1.1964
36005017901,-0.068482
36005017902,-1.8601
36005018101,-2.6169
36005018102,-0.73435
36005018301,-1.008
36005018302,0.71603
