36005000100,-0.47755
36005000200,-0.19895
36005000400,-0.15064
36005001600,-0.19223
36005001900,-0.10064
36005002000,-0.27401
36005002300,-0.2941
36005002400,0.11408
36005002500,-0.33153
36005002701,-0.2835
36005002702,-0.33531
36005002800,-0.22635
36005003100,-0.19324
36005003300,-0.32996
36005003500,-0.26887
36005003700,-0.22927
36005003800,-0.20644
36005003900,-0.26346
36005004001,-0.11706
36005004100,-0.27611
36005004200,-0.22535
36005004300,-0.29352
36005004400,-0.27556
36005004600,-0.23505
36005004800,-0.14993
36005005001,-0.17983
36005005002,-0.19845
36005005100,-0.29694
36005005200,-0.063865
36005005300,-0.28682
36005005400,-0.16113
36005005600,-0.047427
36005005902,-0.20209
36005006000,-0.17065
36005006100,-0.19251
36005006200,-0.26488
36005006300,-0.20553
36005006400,-0.25535
36005006500,-0.24629
36005006700,-0.30944
36005006800,-0.12967
36005006900,-0.22067
36005007000,-0.15729
36005007100,-0.16965
36005007200,-0.12214
36005007300,-0.30997
36005007400,-0.091779
36005007500,-0.26095
36005007600,-0.1409
36005007700,-0.23246
36005007800,-0.11653
36005007900,-0.3036
36005008300,-0.28794
36005008400,-0.089403
36005008500,-0.22906
36005008600,-0.020242
36005008700,-0.30493
36005008900,-0.28768
36005009000,-0.068177
36005009200,-0.010006
36005009300,-0.24247
36005009600,-0.053851
36005009800,-0.10961
36005011000,0.25905
36005011502,-0.27526
36005011700,-0.22169
36005011800,-0.26933
36005011900,-0.32348
36005012101,-0.26847
36005012102,-0.29362
36005012300,-0.27877
36005012500,-0.22788
36005012701,-0.32944
36005012901,-0.25779
36005013000,-0.14763
36005013100,-0.25271
36005013200,-0.24011
36005013300,-0.35383
36005013500,-0.24406
36005013800,-0.28429
36005014100,-0.20647
36005014300,-0.21819
36005014400,-0.36156
36005014500,-0.18502
36005014701,-0.28487
36005014702,-0.27625
36005014900,-0.21773
36005015100,-0.21505
36005015200,-0.055447
36005015300,-0.14646
36005015500,-0.23876
