Tract,Criterion,CSP,CBM,CBM_deltainf
36061011500, MSE , 200.4 , 155.8 , 162.3  
36061011600,MAE , 16.08 , 18.21 , 17.36 
36061011600, MSE , 1438 , 1254 , 1221  
36061011800,MAE , 4.698 , 4.367 , 4.498 
36061011800, MSE , 46.34 , 42.48 , 44.03  
36061012000,MAE , 5.118 , 4.617 , 4.831 
36061012000, MSE , 60.13 , 44.60 , 48.16  
36061012100,MAE , 15.16 , 12.54 , 13.52 
36061012100, MSE , 767.1 , 342.3 , 387  
36061012500,MAE , 19.27 , 16.76 , 16.82 
36061012500, MSE , 1082 , 728.8 , 730.5  
36061012900,MAE , 17.04 , 12.05 , 12.14 
36061012900, MSE , 753.5 , 347.6 , 369.6  
36061013500,MAE , 6.484 , 5.741 , 6.045 
36061013500, MSE , 78.54 , 61.43 , 65.07  
36061013600,MAE , 4.614 , 4.226 , 4.423 
36061013600, MSE , 38.74 , 32.02 , 35.68  
36061014900,MAE , 6.847 , 6.335 , 6.468 
36061014900, MSE , 86.15 , 76.82 , 78.61  
36061015400,MAE , 7.441 , 6.468 , 6.729 
36061015400, MSE , 134.2 , 86.65 , 98.46  
36061015700,MAE , 5.881 , 4.951 , 5.199 
36061015700, MSE , 75.42 , 52.35 , 58.65  
36061016800,MAE , 10.89 , 9.688 , 9.717 
36061016800, MSE , 308.9 , 215.8 , 218.6  
36061021303,MAE , 2.801 , 2.338 , 2.462 
36061021303, MSE , 19.18 , 11.98 , 15.85  
36061022200,MAE , 3.995 , 3.790 , 3.920 
36061022200, MSE , 29.54 , 27.57 , 29.38  
36081000100,MAE , 7.206 , 6.984 , 7.134 
36081000100, MSE , 98.59 , 93.34 , 95.63  
36081000700,MAE , 5.435 , 4.692 , 5.161 
36081000700, MSE , 64.76 , 47.95 , 54.41  
36081001900,MAE , 12.51 , 10.15 , 10.40 
36081001900, MSE , 333.4 , 208.9 , 218.5  
36081017100,MAE , 6.576 , 6.152 , 6.339 
36081017100, MSE , 83.48 , 72.21 , 76.29  
36081017900,MAE , 18.51 , 16.87 , 17.41 
36081017900, MSE , 1019 , 620.9 , 649.3  
36081020500,MAE , 5.284 , 5.200 , 5.264 
36081020500, MSE , 50.12 , 47.91 , 49.14  
36081029700,MAE , 5.192 , 4.232 , 4.826 
36081029700, MSE , 57.34 , 38.66 , 48.68  
36081030600,MAE , 3.419 , 3.399 , 3.397 
36081030600, MSE , 25.64 , 27.12 , 27.78  
36081032000,MAE , 4.843 , 4.892 , 4.936 
