j,slope,intercept,mse
36005001900,1.5830,-0.1636,5.2003
36005006100,1.6338,-0.4533,2.3425
36005006300,0.9271,0.0167,2.5500
36005009600,0.8970,0.0304,3.6198
36005028300,1.6285,-0.2395,1.5384
36005039500,1.1014,-0.0780,3.1587
36005046201,0.9212,0.0462,6.0866
36047002100,1.5727,-0.3359,8.0136
36047003300,0.8731,0.1088,5.5733
36047004300,0.6856,0.2798,2.0027
36047004900,1.0579,-0.0404,1.9981
36047005300,2.5373,-0.5843,6.6213
36047005800,0.6606,0.0764,1.2080
36047015900,0.7622,0.1255,2.4409
36047019400,0.4417,0.1264,2.5419
36047022200,1.2316,-0.0680,2.2663
36047022600,1.5778,-0.1161,2.7292
36047036200,1.2677,-0.0621,1.3626
36047044900,2.1562,-0.5797,8.3627
36047047800,0.2757,0.1747,1.8881
36047048500,1.1885,-0.0443,3.2094
36047052900,0.5265,0.0960,1.3455
36047053400,0.0003,0.4341,2.9377
36047054300,1.2736,-0.0595,3.4803
36047069800,0.6129,0.0819,1.3684
36061000900,0.5985,0.5954,37.7220
36061001300,0.9614,0.0919,35.5905
36061001502,0.9456,0.0532,19.7240
36061003001,0.8966,0.0214,2.1478
36061003700,1.0574,-0.0577,27.8662
36061003900,1.1107,-0.0879,37.3110
36061004100,0.1860,0.2559,6.9420
36061004200,0.7439,0.0485,1.4494
36061004300,0.7892,0.2943,11.4441
36061004700,0.2363,0.2380,6.0625
36061004900,0.7867,0.0929,10.6144
36061005200,1.1380,-0.1599,29.7631
36061005502,1.9486,-0.2082,6.4374
36061005600,0.9936,0.0058,17.7124
36061005800,1.4045,-0.5056,25.0458
36061006100,0.6470,0.1409,7.9246
36061006400,1.6553,-0.3119,3.6607
36061006500,0.3850,0.2696,11.1402
36061006600,0.6395,0.0848,3.1002
36061007600,0.8600,0.3139,40.9768
36061007800,1.0445,-0.1321,25.9675
36061007900,0.8559,0.0337,6.1049
36061008300,1.1380,-0.1715,12.7506
36061009800,1.4853,-0.2186,9.5488
36061009900,1.1795,-0.7503,30.2689
36061011202,1.1652,-0.1982,20.3853
36061011500,0.8539,0.1440,9.3313
36061011600,0.7896,0.5608,71.1050
36061011800,1.2531,-0.0564,3.0214
36061012000,0.7284,0.0860,3.6256
36061012100,0.3794,1.1098,15.1750
36061012500,0.1799,1.2351,63.1336
36061012900,1.1979,-0.3861,14.4812
36061013500,0.9832,0.0085,6.4030
36061013600,1.2615,-0.0605,3.2381
36061014900,0.9828,0.0076,7.1286
36061015400,0.2881,0.3385,3.0980
36061015700,0.4867,0.1566,4.0074
36061016800,0.6494,0.2670,18.4558
36061021303,1.3050,-0.0601,0.9068
36061022200,0.7632,0.0482,2.4584
36081000100,0.9316,0.0337,7.5744
36081000700,1.1999,-0.0626,3.7997
36081001900,0.8162,0.2502,13.9264
36081017100,-0.0717,0.2486,4.7871
36081017900,0.2299,1.3348,12.3022
36081020500,0.3688,0.1444,3.3685
36081029700,0.8566,0.0754,2.1291
36081030600,0.3607,0.1296,2.0562
36081032000,0.8007,0.0623,3.6415
36081038302,0.6251,0.2547,2.3659
36081046200,-0.0471,0.2080,3.1232
36081053900,0.5070,0.1723,1.4799
36081068300,-0.8567,0.3834,4.2222
36081069300,0.5083,0.1737,1.7924
36081087100,1.4955,-0.1530,6.5017
36081155102,0.1023,0.5490,5.9146
36085029102,0.8037,0.0522,4.0948
