j,slope,intercept,mse
36005001900,1.6110,-0.1714,5.1944
36005006100,1.5596,-0.4002,2.2743
36005006300,0.9490,0.0117,2.5477
36005009600,0.9991,0.0003,3.5819
36005028300,1.5419,-0.2065,1.7092
36005039500,1.0023,-0.0017,3.4302
36005046201,0.9715,0.0167,6.0461
36047002100,1.6224,-0.3651,7.9691
36047003300,0.8329,0.1433,5.5828
36047004300,0.5247,0.4229,2.2296
36047004900,0.7386,0.1825,2.0984
36047005300,2.4644,-0.5566,6.6063
36047005800,0.4770,0.1177,1.2391
36047015900,0.7064,0.1550,2.4506
36047019400,0.4769,0.1184,2.5375
36047022200,1.1064,-0.0312,2.3229
36047022600,1.6049,-0.1215,2.7108
36047036200,0.9879,0.0028,1.3396
36047044900,1.8929,-0.4477,8.5164
36047047800,0.2553,0.1796,1.9159
36047048500,1.1883,-0.0443,3.2137
36047052900,0.4766,0.1061,1.4112
36047053400,-0.0282,0.4465,2.9935
36047054300,1.3521,-0.0766,3.4739
36047069800,0.6207,0.0803,1.3667
36061000900,0.5041,0.7353,37.9650
36061001300,0.8751,0.2977,36.0060
36061001502,0.9603,0.0389,19.7101
36061003001,0.6945,0.0634,2.1635
36061003700,1.0704,-0.0707,27.8341
36061003900,1.1094,-0.0868,37.0634
36061004100,0.0104,0.3111,7.1216
36061004200,0.6796,0.0607,1.4511
36061004300,0.7885,0.2953,11.3594
36061004700,0.3142,0.2137,6.0435
36061004900,0.8206,0.0782,10.5937
36061005200,1.1932,-0.2239,29.5507
36061005502,2.2097,-0.2655,6.3975
36061005600,0.9311,0.0621,17.7793
36061005800,1.3911,-0.4888,25.0625
36061006100,0.6759,0.1294,7.9122
36061006400,1.6858,-0.3264,3.6539
36061006500,0.6852,0.1380,10.8991
36061006600,0.7940,0.0485,3.0688
36061007600,1.0954,-0.2139,40.1047
36061007800,1.0521,-0.1547,26.0682
36061007900,0.8303,0.0397,6.1031
36061008300,1.1588,-0.1973,12.5768
36061009800,1.4654,-0.2097,9.5353
36061009900,1.1063,-0.4444,32.1546
36061011202,1.1185,-0.1421,20.4613
36061011500,0.8738,0.1244,9.2667
36061011600,0.7615,0.6356,69.8648
36061011800,1.2013,-0.0448,3.0256
36061012000,0.8487,0.0479,3.6071
36061012100,0.4397,1.0020,14.8133
36061012500,0.1172,1.3296,63.8451
36061012900,1.1260,-0.2459,14.6614
36061013500,0.9670,0.0167,6.4096
36061013600,1.2230,-0.0516,3.2450
36061014900,1.0363,-0.0162,7.0834
36061015400,0.2766,0.3439,3.1002
36061015700,0.5133,0.1485,4.0017
36061016800,0.5747,0.3239,18.5617
36061021303,1.0974,-0.0192,0.9051
36061022200,0.7558,0.0497,2.4546
36081000100,1.1198,-0.0589,7.5324
36081000700,1.0850,-0.0266,3.8054
36081001900,0.8159,0.2506,13.9300
36081017100,-0.2376,0.2871,4.7978
36081017900,0.3197,1.1791,12.0522
36081020500,0.3913,0.1392,3.3670
36081029700,0.8988,0.0532,2.1204
36081030600,0.3346,0.1349,2.0630
36081032000,0.7634,0.0740,3.6528
36081038302,0.6854,0.2136,2.3199
36081046200,0.1323,0.1723,3.0507
36081053900,0.5079,0.1720,1.4798
36081068300,-0.8245,0.3767,4.2105
36081069300,0.5106,0.1729,1.7919
36081087100,1.2653,-0.0819,6.3932
36081155102,0.1155,0.5410,5.9076
36085029102,0.7460,0.0675,4.2518
