emp_a_p5,emp_a_p95,realwa_p95,realwa_p5,realwb_mean,realwa_mean,realwb_std,realwb_cont,realwa_cont
10.0,23.0,77.35702788181298,62.20567606157161,68.56887359700943,68.85332558404224,4.676144265882343,67.82213250074079,68.09349623052402
98.0,134.0,89.31363096921652,82.6581279317124,85.4933524762325,85.83747206100043,2.0124015405096354,85.38414512851013,85.72508715816417
566.0,647.0,101.86121343775969,98.48858597065916,99.7505872872098,100.1473063012157,1.0166869933608906,99.72529074475885,100.12340075725922
3305.0,3497.0,124.82909814619512,123.06901283901549,123.44862653399203,123.94632967817842,0.5302928967047362,123.44707293000873,123.94456130679639
60.0,89.0,82.95810234877541,75.30516250121029,78.59816683399188,78.92076729574386,2.305798797617401,78.4364481666354,78.74997566128063
8.0,20.0,67.36415028367763,53.34059778477049,59.19363661256829,59.42233112891587,4.341856880983297,58.465856723516076,58.70180381941136
107.0,144.0,81.7552223648183,75.9026576011952,78.36475734623824,78.68925959866375,1.7604579282010406,78.27705968934087,78.59363098717884
144.0,186.0,83.96697450254615,78.71493433033646,80.92112684630992,81.24433842761468,1.5918610719094632,80.8506629842179,81.17674836486947
37.0,59.0,75.37225177566043,66.75971854242911,70.47939608445407,70.76380141347578,2.61014467152597,70.24958284729388,70.53274839372932
289.0,347.0,91.56021270359,87.40099813704896,89.05705474006561,89.41935582169954,1.2541255534954645,89.02113261921092,89.37972775467946
214.0,265.0,90.86402521575798,86.12588080243444,88.07141659530399,88.4241891904052,1.4351615937146327,88.00957466498151,88.36235774741242
308.0,368.0,93.23171689886931,89.12615222710244,90.75855194602453,91.11895571499582,1.2408350358432565,90.71241478155555,91.07638761572619
138.0,179.0,85.69775316264712,80.24533249590415,82.53470524532068,82.86060869546691,1.6543441962560308,82.44724127729425,82.77825289219156
238.0,291.0,89.35944227431953,84.91401168218081,86.72443165034868,87.07570701632847,1.3392487287846475,86.6837985160389,87.03170016506039
