res_change1,res_change10,realr_change1,realr_change10
-0.606899999999996,-0.18808999999998832,0.578696232090592,0.6347153060885624
0.1090999999998985,-0.07090999999991254,0.5506779277365537,0.5398369146179638
-0.4329000000000178,-0.4466899999999896,0.5072756624841857,0.5029909618380568
-0.15909999999985303,-0.5638200000000779,0.5502017164613182,0.5146215907985363
0.8700000000000045,0.12759000000005472,0.7055058628064881,0.6035074558836673
-1.3886999999999716,-0.4885399999998299,0.49964769945833876,0.5407283126734885
-0.4839000000000624,-0.021360000000072432,0.5443671225999314,0.594620615142194
-0.0009000000000014552,-0.03507999999999356,0.5554108082945541,0.5540469238654699
0.3570999999999458,0.21818999999982225,0.6382913216064656,0.6150653506636905
0.2822000000001026,-0.031899999999950523,0.6249017718900962,0.5784525568258037
0.5617999999999483,0.1863499999999476,0.6684498919375947,0.6353327639772921
0.11020000000007713,-0.17698999999993248,0.5920274215619914,0.5776045921260353
0.23560000000003356,0.041200000000003456,0.6572475967206781,0.6120704765090412
-0.18079999999997654,0.18424999999990632,0.5631205556603236,0.6052671970132595
1.0347999999999047,-0.007669999999961874,0.7221244319008058,0.6015340899153676
-0.12590000000000146,-0.018740000000008195,0.5344511108283934,0.5658603873192058
-0.116800000000012,-0.033290000000022246,0.5384987354112081,0.5435597197779307
0.17300000000000182,-0.026679999999942083,0.6309920870067209,0.5972635740821186
-0.5882000000000289,-0.07930000000004611,0.42393108891880527,0.5232222408559029
0.018600000000105865,0.10441000000014355,0.6035518378963989,0.5964098055035505
0.25649999999996,-0.2943799999998191,0.5815267756321463,0.5602657947853418
0.3485000000000582,0.3113499999999476,0.6236608120385956,0.6170922518651478
-0.23840000000018335,-0.5592599999999948,0.5297164001973886,0.4930439297100575
-0.08269999999998845,-0.2677400000000034,0.48880857947495304,0.45403773795993363
-0.11129999999991469,-0.35709000000008473,0.540271962898009,0.5140426377759688
0.014499999999998181,-0.2220199999999295,0.5240459879913839,0.5049223172931994
-1.4524999999998727,-0.4008899999998903,0.46118570955753224,0.5441423173454085
0.8132000000000517,-0.1854599999999209,0.6088837796312863,0.5383484809192263
-0.1733999999999014,-0.28971999999998843,0.48572612278809935,0.4588955952795182
-0.7481999999999971,-0.5774300000000494,0.43578109716764235,0.4386244354877
0.05859999999984211,-0.7793500000000222,0.572720382938674,0.5027958473602823
-0.7860000000000582,-0.30752000000006774,0.5068354115235207,0.58318476760435
-0.23359999999991032,-0.17691999999999553,0.5095631113005261,0.5058137045697242
0.029799999999966076,-0.29311000000001286,0.4999684973220564,0.4144228815463835
0.07169999999996435,0.17036000000007334,0.5978742764893408,0.5959199585924724
-0.15049999999996544,-0.40661999999997533,0.5690891783579399,0.5548705740186177
0.26539999999999964,-0.01837000000000444,0.5917652076274482,0.5799146895569152
-0.030099999999947613,-0.13397999999983767,0.5732681578385579,0.5657274545679547
0.080600000000004,0.03485999999998057,0.6192308764825905,0.6120610153514727
0.4695999999999003,-0.20545999999990272,0.6027143232816945,0.5705954182792405
-0.03409999999996671,-0.07598999999993339,0.5724574058347809,0.5744256238082279
0.21669999999994616,0.42770000000018626,0.6203051684656957,0.6309450151110063
-0.9502999999999702,-0.5194200000000819,0.48271950585294654,0.5166014652365103
0.02479999999991378,0.11540000000002237,0.5937318799740465,0.6228695896170144
-0.5907999999999447,-0.6347900000000664,0.5120435025639525,0.5081746068378967
-0.18469999999990705,-0.07140000000003965,0.5638079748842895,0.5761470591459039
-0.8347999999999729,-0.5610799999999472,0.47930249889598375,0.5005587618449159
-0.13409999999998945,-0.06998999999996158,0.5736638085263701,0.5756042344900791
-0.5567999999998392,-0.10823999999979605,0.563347090904065,0.5932366827948732
0.127900000000011,0.08391000000000304,0.6039180103429409,0.6069524405484916
-1.8003000000001066,-0.989359999999806,0.42391664835481624,0.47537192053932475
0.5167999999998756,0.24026000000003478,0.6097435183254118,0.5871500839476962
0.557700000000068,0.09789999999998145,0.6233112535128926,0.5840436240887037
-0.4678000000000111,-0.40610000000003765,0.5115246586387734,0.5300339122483955
-0.13820000000009713,-0.3237099999998918,0.5408818600085796,0.51531708368171
0.19209999999998217,-0.27727999999979147,0.6026235878382691,0.5668357365461008
-0.3871000000001459,-0.571440000000166,0.4429876480412709,0.4339185276785562
-0.8102999999999838,-0.440119999999979,0.35331710620432055,0.4060344665605342
0.3812000000000353,-0.02602999999999156,0.643719782479435,0.6111254585867254
-0.32760000000007494,-0.1640700000000379,0.6540295490627734,0.6618252219523946
0.6539999999999964,-0.10974000000010165,0.4824820749283143,0.4454638287083368
-0.4329000000000178,-0.30979999999999563,0.5243260842624942,0.5378811240200898
-1.2816000000000258,-0.03780000000006112,0.5509349004500841,0.6230351594064043
0.045700000000000074,0.004849999999999355,0.906593581608961,0.6702185356526336
-1.3741999999999734,-0.504980000000046,0.34834569622750333,0.4411026938461404
0.14179999999998927,-0.0583800000000565,0.5245463976590647,0.4918172537125898
0.30600000000004,-0.3357499999999618,0.5564241166230444,0.5051291365458566
0.23440000000005057,0.05446000000006279,0.569883932435622,0.565884684480622
0.6447000000000571,-0.1238700000000108,0.6345054586119669,0.5395695687492319
-0.43200000000001637,-0.09949999999997772,0.482007817200758,0.5603696997659835
0.05389999999999873,-0.0052799999999706415,0.5607970857623545,0.5595528428436802
-0.5281999999999698,-0.3441100000000006,0.5177950197843506,0.5317023576347557
0.0079000000000633,-0.03986999999995078,0.6062975125538106,0.5998555561459007
0.25649999999996,-0.06936999999993532,0.6029468796989734,0.5546719963197333
-0.05400000000003047,-0.20413000000002057,0.48005441824419126,0.43552956277146393
-0.2681999999999789,-0.1389800000001742,0.5497827062376892,0.5546054309080839
0.19719999999983884,-0.3529500000001917,0.5312264840128034,0.5046813510944492
-0.06670000000008258,0.12342999999987114,0.5937266882987569,0.5990602141703993
-0.2716000000000349,-0.31671000000005733,0.5244542024533283,0.528338186598698
0.24860000000001037,0.1187600000000657,0.5933658436616751,0.5774938541178942
-0.04250000000001819,-0.004509999999982028,0.5695940174859082,0.5678851842932486
-0.03900000000001569,-0.10242999999999824,0.57811446466427,0.543468495558086
0.15360000000009677,-0.3257100000000719,0.5840690762701106,0.5589317910021485
-0.9522999999999229,-0.806440000000066,0.42639013555589855,0.43222538320686343
-0.03559999999993124,-0.6441400000001067,0.4954239806455707,0.44104082817373325
-0.48919999999998254,-0.4729899999999816,0.46938774563496377,0.4823750150696915
-0.15409999999997126,-0.6110599999999522,0.48434300809161446,0.4304962058424566
-1.8677999999999884,-1.0249900000001162,0.30416482810993184,0.3726284625176879
0.07979999999997744,0.06708000000003267,0.6251815089048707,0.6291897007965952
-0.3384000000000924,-0.34608000000002903,0.46705534731918963,0.45763159671172726
0.018100000000004002,-0.19096999999999298,0.5416032579445895,0.5087548912086515
-1.0371999999999844,-0.4971100000000206,0.46121567429855403,0.5179761838990604
-0.5223000000000297,-0.11333000000001903,0.525005139638246,0.6125088647388921
-0.4296999999999116,-0.18237999999996646,0.4460440631631535,0.4656564316244838
-0.412900000000036,-0.522420000000011,0.48410832455327846,0.4761566902199421
0.04120000000011714,-0.25747999999998683,0.5866508482877064,0.5478630010357532
-0.24900000000002365,-0.17789000000004762,0.47951754750694686,0.5010119669791369
-0.04720000000000368,-0.08468000000000586,0.5258960721872707,0.49482523207229345
-0.26329999999995835,-0.2961899999999673,0.4893924290223284,0.47536941214636474
0.31620000000003756,0.08976999999998725,0.6697753988581523,0.6249033198687526
-0.18029999999998836,-0.26329999999995835,0.5691177573729833,0.5640946432202476
-0.19209999999998217,-0.10051999999996042,0.5459645679953162,0.5533817204258495
-0.28329999999994016,-0.3161999999999807,0.516266485016903,0.5079707347495077
-0.16870000000000118,-0.025210000000001287,0.3472017462131438,0.5411733229115256
-0.3605999999999767,-0.3595900000000256,0.5237527223582283,0.5304607952776319
-0.163899999999785,0.25629000000003543,0.57485184460635,0.610857149942956
0.016500000000064574,-0.2901600000000144,0.5367879077884163,0.5093521660984424
-0.26159999999993033,0.1692199999999957,0.5727608263153217,0.6106256741552185
0.5713000000000648,-0.07808999999997468,0.6225185199383754,0.5714555088110584
0.13679999999999382,-0.3189399999999978,0.5872022789338738,0.5168226842969359
