id,d_res_p95,d_res_p5,d_res_mean,d_real_rent_ratio_p95,d_real_rent_ratio_p5,d_real_rent_ratio_mean,real_rb_mean,real_ra_mean
1,3.049999999999997,-2.05,0.4,1.2353507858504083,0.17451793889883654,0.7160020912738677,15782.819768509555,15895.539069245904
2,7.0,-7.05,-0.38,1.1864194527666918,-0.1663009106745344,0.5127171305299253,66.52679155793884,66.8684178486522
3,8.049999999999997,-7.0,-0.02,1.2207813053562049,-0.05447332181262657,0.5452660558102,62.93014855562147,63.27294548690128
4,8.049999999999997,-6.05,1.47,1.10602531360831,0.09389557247806957,0.6556193561200487,70.56331131402766,71.02600922277753
5,7.0,-7.05,-0.34,1.5520604086372987,-0.391465260887115,0.5585209070110402,180.4113640850836,181.41647666033015
6,9.0,-8.0,0.15,1.0296073057212842,0.15894879201087136,0.5805035927100944,56.40741822570554,56.735281395288276
7,6.049999999999997,-8.05,-0.61,1.318696250268967,-0.34602253868179755,0.5442073684536842,187.49835660397036,188.51570298105426
8,1.0,-2.0,-0.14,2.667207077174649,-2.141586540006481,0.4354077394673999,54148.37383809733,54368.40976085812
9,6.0,-5.05,0.52,1.2822370110321222,0.049740020595072966,0.6416517274077562,175.30067366724273,176.42171137650644
10,6.0,-6.0,-0.21,1.4852308684481026,-0.27564930033680457,0.5528937920070923,204.226372091359,205.3572397132715
11,9.0,-7.0,0.27,1.700548343519356,-0.1571366065276912,0.6443288177281116,168.62364187615887,169.7023647592613
12,9.049999999999997,-9.0,0.44,1.163745905229973,0.024054178434326674,0.6143507524810431,76.8597821264624,77.33231356357662
13,6.049999999999997,-5.0,0.2,2.1662713713459274,-0.4164122510950926,0.6560703175883121,229.4959496194532,230.9929521514746
14,7.049999999999997,-8.0,0.45,1.516567228930218,-0.35753093252054435,0.6542649946748798,173.06286521315863,174.18949760126443
15,8.0,-7.05,-0.58,1.5001720590218466,-0.3535749295191756,0.5395071914918159,179.00703874480882,179.97401338870313
16,4.0,-3.05,0.05,2.399628306894796,-0.9466090552098454,0.6067637783967609,371.3777249784938,373.6099953505465
17,4.0,-4.0,-0.18,1.7005815875273411,-0.5295891746808725,0.5151492085150483,142.73086587530707,143.46298824727467
18,9.049999999999997,-9.0,0.3,1.4144386761174494,-0.1810578700207929,0.6184464636566955,168.27728371900125,169.31990872160384
19,5.049999999999997,-6.0,-0.1,1.6391475344056687,-0.8015321209416333,0.5273842529221473,323.7090012381796,325.4151895687112
20,8.0,-7.0,0.56,1.2257650058951761,0.03290119497661253,0.6390070364324824,155.55231466805216,156.54678097696333
