ventile_id,simulation_id,emp_b_mean,emp_a_mean,real_wb_mean,real_wa_mean,dist_ij_maximum,dist_ij_minimum
1,1,4884.688679245283,4835.037735849057,106.05006482685407,106.47713891722223,3.180796486470582,0.0
2,1,3878.785046728972,3838.8598130841124,101.45596299050537,101.86750943281048,4.199298262995014,3.180796486470582
3,1,1444.3364485981308,1429.8317757009345,95.29247602565718,95.67412934852766,5.272455687869069,4.199298262995014
4,1,2608.5794392523367,2581.7570093457944,91.26161074633298,91.6725227084438,6.193740596260733,5.272455687869069
5,1,3335.532710280374,3302.0186915887853,88.36904419321233,88.74716405356541,7.05506785778168,6.193740596260733
6,1,702.7850467289719,696.1214953271028,86.33302856078555,86.68321497741833,7.953231296132531,7.05506785778168
7,1,575.425925925926,569.4537037037037,84.9431205732055,85.30019093495987,9.018858595419156,7.953231296132531
8,1,425.4766355140187,420.803738317757,83.3597999009428,83.73139701718101,9.988970078469205,9.018858595419156
9,1,599.0093457943925,592.588785046729,83.44686665064938,83.76717973502095,10.72513829060439,9.988970078469205
10,1,430.0093457943925,425.31775700934577,85.04118849159049,85.37423519196143,11.48754368614339,10.72513829060439
11,1,437.1682242990654,432.89719626168227,84.20817575142316,84.54496567673952,12.092084039119785,11.48754368614339
12,1,453.21495327102804,448.5607476635514,83.59759838653075,83.92443499887953,12.748421000557512,12.092084039119785
13,1,409.89719626168227,406.21495327102804,85.59454367694718,85.92381072717707,13.501331419788942,12.748421000557512
14,1,504.3888888888889,499.98148148148147,88.16244142433487,88.46811421296482,14.1931526288167,13.501331419788942
15,1,337.6261682242991,334.0747663551402,84.01362072428208,84.36535696193873,14.956788839614688,14.1931526288167
16,1,459.94392523364485,455.7383177570093,87.07043091635605,87.387991081051,15.829313623743104,14.956788839614688
17,1,335.21495327102804,331.4392523364486,83.99800119049908,84.32021689243436,16.715116260578437,15.829313623743104
18,1,572.803738317757,567.1775700934579,86.00335311238382,86.36541783877236,18.154016273702457,16.715116260578437
19,1,323.32710280373834,320.196261682243,85.7893060644822,86.13154555073552,19.871801050606063,18.154016273702457
20,1,550.9537037037037,545.9537037037037,96.26857696377166,96.65117095335545,36.47608118563621,19.871801050606063
1,2,4873.547169811321,4824.943396226415,106.25136400692016,106.67968683412991,3.180796486470582,0.0
2,2,3877.551401869159,3838.0093457943926,101.34473457302582,101.76862483343702,4.199298262995014,3.180796486470582
3,2,1443.803738317757,1428.6261682242991,95.58374059893687,96.03238276839669,5.272455687869069,4.199298262995014
4,2,2623.308411214953,2596.457943925234,91.25597200003169,91.61602824895708,6.193740596260733,5.272455687869069
5,2,3321.355140186916,3287.6728971962616,88.4385473598969,88.76455265452081,7.05506785778168,6.193740596260733
6,2,706.5981308411215,699.626168224299,85.9011726906307,86.26466926676954,7.953231296132531,7.05506785778168
7,2,577.324074074074,571.5648148148148,84.9983325074586,85.32107519139187,9.018858595419156,7.953231296132531
8,2,423.4766355140187,419.66355140186914,83.32692633072442,83.669200564471,9.988970078469205,9.018858595419156
9,2,599.2990654205607,593.0841121495328,83.25344615774043,83.60195070652387,10.72513829060439,9.988970078469205
10,2,429.2710280373832,424.4392523364486,85.27179286197932,85.6453908715664,11.48754368614339,10.72513829060439
11,2,439.89719626168227,435.42056074766356,84.2649245046289,84.62040785210543,12.092084039119785,11.48754368614339
12,2,454.7102803738318,450.30841121495325,83.21971676323597,83.53815039896298,12.748421000557512,12.092084039119785
13,2,413.60747663551405,409.2710280373832,85.54370390228054,85.87849093920704,13.501331419788942,12.748421000557512
14,2,506.72222222222223,501.75925925925924,87.99966226734456,88.36033666566826,14.1931526288167,13.501331419788942
15,2,338.69158878504675,335.2710280373832,84.09889621934774,84.42336153632208,14.956788839614688,14.1931526288167
16,2,460.8224299065421,456.29906542056074,87.03687251140124,87.3949672005293,15.829313623743104,14.956788839614688
17,2,333.97196261682245,330.76635514018693,83.9311683082864,84.24522801610698,16.715116260578437,15.829313623743104
18,2,568.2523364485982,562.3084112149533,86.37451932225582,86.74894053791246,18.154016273702457,16.715116260578437
19,2,323.4485981308411,320.14018691588785,85.01360362007796,85.3979329595126,19.871801050606063,18.154016273702457
20,2,553.925925925926,549.1481481481482,96.0767137690107,96.43649280870335,36.47608118563621,19.871801050606063
1,3,4872.226415094339,4822.377358490566,106.31851481984174,106.74465957089961,3.180796486470582,0.0
2,3,3879.457943925234,3839.6168224299067,101.43199885319663,101.83038003871972,4.199298262995014,3.180796486470582
3,3,1443.5607476635514,1429.5327102803737,95.65664906778028,96.05462266025883,5.272455687869069,4.199298262995014
4,3,2629.5981308411215,2602.700934579439,91.47391451403442,91.8505625532974,6.193740596260733,5.272455687869069
5,3,3331.1028037383176,3298.3177570093458,88.36909283524784,88.72653620239221,7.05506785778168,6.193740596260733
6,3,702.8785046728972,695.626168224299,85.82691898447143,86.16359953547642,7.953231296132531,7.05506785778168
7,3,575.0648148148148,569.5833333333334,85.24236313983364,85.56348163719403,9.018858595419156,7.953231296132531
8,3,428.04672897196264,423.5327102803738,82.65942490610837,83.03181412496579,9.988970078469205,9.018858595419156
9,3,592.8224299065421,587.2523364485982,83.352989512398,83.66868356853936,10.72513829060439,9.988970078469205
10,3,425.1869158878505,421.0,85.84993767993623,86.1765920337148,11.48754368614339,10.72513829060439
11,3,440.9252336448598,436.3644859813084,84.23026605515551,84.59192603051433,12.092084039119785,11.48754368614339
12,3,454.95327102803736,450.5140186915888,83.22280462666018,83.54826574208768,12.748421000557512,12.092084039119785
13,3,411.85046728971963,408.06542056074767,85.39275680554583,85.7008210327136,13.501331419788942,12.748421000557512
14,3,505.0740740740741,499.93518518518516,88.18047371093486,88.51832391846929,14.1931526288167,13.501331419788942
15,3,334.2429906542056,330.77570093457945,84.34821712364678,84.67786193860557,14.956788839614688,14.1931526288167
16,3,462.29906542056074,457.5233644859813,87.22820031409375,87.59052301515476,15.829313623743104,14.956788839614688
17,3,335.30841121495325,331.803738317757,83.68734120868609,84.02584829653996,16.715116260578437,15.829313623743104
18,3,571.1869158878504,565.8130841121496,86.06935974723532,86.42576651281642,18.154016273702457,16.715116260578437
19,3,323.4672897196262,320.0841121495327,86.43800529885783,86.78045008915647,19.871801050606063,18.154016273702457
20,3,549.4444444444445,544.5185185185185,96.4206425192435,96.7927759209204,36.47608118563621,19.871801050606063
1,4,4878.424528301887,4829.075471698113,106.19093698540239,106.62585793254857,3.180796486470582,0.0
2,4,3874.7570093457944,3835.7196261682243,101.52136432486773,101.94199414600534,4.199298262995014,3.180796486470582
3,4,1451.3177570093458,1437.0,95.53950465656253,95.93221371083428,5.272455687869069,4.199298262995014
4,4,2621.336448598131,2594.551401869159,91.41062846363238,91.81417267582087,6.193740596260733,5.272455687869069
5,4,3324.495327102804,3292.1495327102803,88.44715929376954,88.80861062336132,7.05506785778168,6.193740596260733
6,4,705.7383177570093,698.2803738317757,86.01287836971973,86.34443168273928,7.953231296132531,7.05506785778168
7,4,574.8518518518518,569.6111111111111,85.03262489189203,85.35606008037287,9.018858595419156,7.953231296132531
8,4,420.5514018691589,416.5327102803738,82.94072077295067,83.22757084944439,9.988970078469205,9.018858595419156
9,4,605.6355140186915,599.5981308411215,83.31320980615459,83.66318078942167,10.72513829060439,9.988970078469205
10,4,428.70093457943926,424.1869158878505,85.10038556419805,85.45367569745136,11.48754368614339,10.72513829060439
11,4,434.61682242990656,430.4392523364486,84.33925637271994,84.6733342605911,12.092084039119785,11.48754368614339
12,4,450.7289719626168,446.25233644859816,83.90893269891492,84.23717184853024,12.748421000557512,12.092084039119785
13,4,411.8785046728972,407.41121495327104,85.26939907085524,85.63446957648529,13.501331419788942,12.748421000557512
14,4,500.9074074074074,496.47222222222223,88.17045160127299,88.50004252641892,14.1931526288167,13.501331419788942
15,4,335.9626168224299,332.5607476635514,84.32653882168734,84.6885602973054,14.956788839614688,14.1931526288167
16,4,463.8317757009346,459.4859813084112,87.00259733209688,87.34939564831738,15.829313623743104,14.956788839614688
17,4,334.7570093457944,331.5607476635514,83.99508069613807,84.33580423126537,16.715116260578437,15.829313623743104
18,4,569.7663551401869,563.8785046728972,85.86863951457104,86.23512011375351,18.154016273702457,16.715116260578437
19,4,325.2897196261682,322.0747663551402,85.79786120601177,86.11920767566147,19.871801050606063,18.154016273702457
20,4,555.7222222222222,550.7314814814815,95.85666001273482,96.20448536170888,36.47608118563621,19.871801050606063
1,5,4887.292452830188,4836.8490566037735,106.2636403520327,106.70176773239962,3.180796486470582,0.0
2,5,3857.803738317757,3820.5233644859813,101.94331178537675,102.31679036603309,4.199298262995014,3.180796486470582
3,5,1442.018691588785,1428.0093457943926,95.53921591455926,95.91049744932265,5.272455687869069,4.199298262995014
4,5,2626.6728971962616,2601.0093457943926,91.33880724179282,91.69862212050108,6.193740596260733,5.272455687869069
5,5,3328.7102803738317,3294.5794392523367,88.62376082252351,89.00125769919899,7.05506785778168,6.193740596260733
6,5,704.7757009345794,697.5420560747664,86.08942190103454,86.43060508656086,7.953231296132531,7.05506785778168
7,5,578.8333333333334,573.1203703703703,85.19057032640394,85.53082675922641,9.018858595419156,7.953231296132531
8,5,422.7289719626168,418.4672897196262,82.95443704541731,83.30026534956961,9.988970078469205,9.018858595419156
9,5,599.2336448598131,592.8878504672897,83.54801627794626,83.93844598861841,10.72513829060439,9.988970078469205
10,5,428.95327102803736,424.85981308411215,85.39408169710421,85.74063934959935,11.48754368614339,10.72513829060439
11,5,438.85046728971963,434.9065420560748,84.33109811359319,84.6422307101251,12.092084039119785,11.48754368614339
12,5,456.41121495327104,451.4018691588785,83.3395458216189,83.70982037456616,12.748421000557512,12.092084039119785
13,5,416.14018691588785,411.7102803738318,85.31928187968622,85.69603893509418,13.501331419788942,12.748421000557512
14,5,501.8703703703704,496.7962962962963,88.1972950010801,88.55627165874951,14.1931526288167,13.501331419788942
15,5,339.0093457943925,335.41121495327104,83.99507488238484,84.32740146407424,14.956788839614688,14.1931526288167
