ventile_id,simulation_id,real_rb_mean,real_ra_mean,res_b_mean,res_a_mean,dist_ij_maximum,dist_ij_minimum
1,1,18832.957659714655,18965.21545053076,1632.398148148148,1633.8425925925926,3.2207496030095855,0.0
2,1,16805.82127176181,16930.432004546776,1667.9444444444443,1669.0092592592594,4.209577041627323,3.2207496030095855
3,1,16869.457172448558,16994.461116486844,1429.4259259259259,1430.0833333333333,5.273829034979965,4.209577041627323
4,1,15366.533633015018,15492.214859072445,1410.5833333333333,1412.4907407407406,6.2193607634696795,5.273829034979965
5,1,16612.43779013326,16726.040468459872,1238.5555555555557,1238.4537037037037,7.099010562158709,6.2193607634696795
6,1,16274.05696941012,16390.362503930595,1185.8148148148148,1185.6759259259259,8.009865765886136,7.099010562158709
7,1,15701.697902948888,15814.679177318505,1215.1296296296296,1215.6851851851852,9.067303845096996,8.009865765886136
8,1,15835.848041789528,15930.141041227367,1076.212962962963,1076.1296296296296,10.04996750303151,9.067303845096996
9,1,15220.878534805483,15332.727639622206,1077.8333333333333,1077.962962962963,10.757118479298125,10.04996750303151
10,1,14985.403246099253,15039.676089103841,1101.962962962963,1100.9259259259259,11.497848880095894,10.757118479298125
11,1,14444.592182408274,14534.131832346566,1026.5925925925926,1026.6666666666667,12.109091001333718,11.497848880095894
12,1,13879.35760031587,13952.135352276822,1128.861111111111,1128.1944444444443,12.807556292781596,12.109091001333718
13,1,14230.093556181619,14297.773678063686,983.2870370370371,982.4444444444445,13.534002919449897,12.807556292781596
14,1,14920.25970057325,14999.784280710423,935.9722222222222,935.6574074074074,14.213223355492133,13.534002919449897
15,1,13903.61395295322,13965.017871922404,906.675925925926,906.1388888888889,14.990022927080933,14.213223355492133
16,1,14271.08892251742,14340.478069066028,858.8518518518518,859.2314814814815,15.857134762354208,14.990022927080933
17,1,13918.199424659888,13981.595218060405,851.4444444444445,850.6574074074074,16.73930680095249,15.857134762354208
18,1,12619.484048488186,12676.500837095038,1016.5092592592592,1016.4907407407408,18.185193908963573,16.73930680095249
19,1,11496.122352585639,11556.42413841916,921.0555555555555,920.9907407407408,20.03230371924933,18.185193908963573
20,1,8332.525847134833,8382.203668424214,1380.3055555555557,1378.6851851851852,36.47608118563621,20.03230371924933
1,2,19297.748711698256,19446.601755315547,1629.4537037037037,1630.2962962962963,3.2207496030095855,0.0
2,2,16719.14343361347,16836.999175943238,1660.9074074074074,1662.398148148148,4.209577041627323,3.2207496030095855
3,2,17230.233863397414,17367.086418365565,1435.9444444444443,1436.7037037037037,5.273829034979965,4.209577041627323
4,2,15453.563886049054,15574.710872004533,1411.1203703703704,1411.3796296296296,6.2193607634696795,5.273829034979965
5,2,16522.341371806102,16643.244088891017,1228.1574074074074,1228.9722222222222,7.099010562158709,6.2193607634696795
6,2,16444.282685172497,16560.420430537193,1193.898148148148,1194.0648148148148,8.009865765886136,7.099010562158709
7,2,15853.899401696066,15942.594647835731,1221.7407407407406,1221.4351851851852,9.067303845096996,8.009865765886136
8,2,15753.02243893847,15806.8919828459,1077.648148148148,1077.1574074074074,10.04996750303151,9.067303845096996
9,2,15268.222372753462,15364.968122024122,1078.5,1079.0833333333333,10.757118479298125,10.04996750303151
10,2,14828.481540872473,14918.725861821797,1099.287037037037,1098.4259259259259,11.497848880095894,10.757118479298125
11,2,14318.064952713614,14385.565511402358,1029.611111111111,1029.1666666666667,12.109091001333718,11.497848880095894
12,2,14172.360513387011,14246.49419928727,1130.1296296296296,1129.9907407407406,12.807556292781596,12.109091001333718
13,2,14188.79424422785,14270.866226567154,980.6203703703703,980.5185185185185,13.534002919449897,12.807556292781596
14,2,15501.485496705249,15580.614633353309,936.8703703703703,936.8981481481482,14.213223355492133,13.534002919449897
15,2,13883.947813934137,13951.795155349913,903.9351851851852,903.5555555555555,14.990022927080933,14.213223355492133
16,2,14135.201438834903,14198.821503713227,859.9351851851852,859.1296296296297,15.857134762354208,14.990022927080933
17,2,13962.624699605012,14033.536882003964,851.0925925925926,850.7407407407408,16.73930680095249,15.857134762354208
18,2,12777.841188610457,12871.758105039991,1015.925925925926,1015.8703703703703,18.185193908963573,16.73930680095249
19,2,11497.469549932763,11559.69852662652,922.2685185185185,922.1203703703703,20.03230371924933,18.185193908963573
20,2,7960.683017150788,7991.10796135963,1378.3703703703704,1377.5092592592594,36.47608118563621,20.03230371924933
1,3,18784.499246089388,19065.882867629924,1626.7777777777778,1627.5648148148148,3.2207496030095855,0.0
2,3,16838.150800615753,16975.694723874258,1672.5185185185185,1674.2777777777778,4.209577041627323,3.2207496030095855
3,3,17211.946283826965,17337.30791173843,1434.7407407407406,1434.351851851852,5.273829034979965,4.209577041627323
4,3,15565.664042300727,15658.994475299676,1409.0925925925926,1408.5925925925926,6.2193607634696795,5.273829034979965
5,3,16413.09997111908,16529.96672392641,1232.2962962962963,1232.9351851851852,7.099010562158709,6.2193607634696795
