ventile_id,simulation_id,emp_b_mean,emp_a_mean,real_wb_mean,real_wa_mean,dist_ij_maximum,dist_ij_minimum
1,1,4884.688679245283,4833.38679245283,1.5656860707969014,1.5656860707969014,3.180796486470582,0.0
2,1,3878.785046728972,3838.1869158878503,1.4965929750947915,1.4965929750947915,4.199298262995014,3.180796486470582
3,1,1444.3364485981308,1429.5327102803737,1.4093033811244198,1.4093033811244198,5.272455687869069,4.199298262995014
4,1,2608.5794392523367,2581.728971962617,1.3442379297977263,1.3442379297977263,6.193740596260733,5.272455687869069
5,1,3335.532710280374,3302.607476635514,1.3012187110685511,1.3012187110685511,7.05506785778168,6.193740596260733
6,1,702.7850467289719,696.1028037383178,1.2678754994973431,1.2678754994973431,7.953231296132531,7.05506785778168
7,1,575.425925925926,569.4629629629629,1.253959154920958,1.253959154920958,9.018858595419156,7.953231296132531
8,1,425.4766355140187,420.86915887850466,1.2261529308469425,1.2261529308469425,9.988970078469205,9.018858595419156
9,1,599.0093457943925,592.392523364486,1.2293206677104924,1.2293206677104924,10.72513829060439,9.988970078469205
10,1,430.0093457943925,425.33644859813086,1.258041117289132,1.258041117289132,11.48754368614339,10.72513829060439
11,1,437.1682242990654,432.94392523364485,1.2418203022589673,1.2418203022589673,12.092084039119785,11.48754368614339
12,1,453.21495327102804,448.6261682242991,1.23022060785209,1.23022060785209,12.748421000557512,12.092084039119785
13,1,409.89719626168227,406.30841121495325,1.2596331727668462,1.2596331727668462,13.501331419788942,12.748421000557512
14,1,504.3888888888889,500.0925925925926,1.2994425565779564,1.2994425565779564,14.1931526288167,13.501331419788942
15,1,337.6261682242991,334.14953271028037,1.2382498742678767,1.2382498742678767,14.956788839614688,14.1931526288167
16,1,459.94392523364485,455.8878504672897,1.279868554654993,1.279868554654993,15.829313623743104,14.956788839614688
17,1,335.21495327102804,331.6355140186916,1.2347965163750603,1.2347965163750603,16.715116260578437,15.829313623743104
18,1,572.803738317757,567.4672897196261,1.2685621009743309,1.2685621009743309,18.154016273702457,16.715116260578437
19,1,323.32710280373834,320.33644859813086,1.27077809545655,1.27077809545655,19.871801050606063,18.154016273702457
20,1,550.9537037037037,546.9629629629629,1.4182462285981774,1.4182462285981774,36.47608118563621,19.871801050606063
1,2,4873.547169811321,4822.971698113208,1.5656860707969014,1.5656860707969014,3.180796486470582,0.0
2,2,3877.551401869159,3837.1682242990655,1.4965929750947915,1.4965929750947915,4.199298262995014,3.180796486470582
3,2,1443.803738317757,1428.2803738317757,1.4093033811244198,1.4093033811244198,5.272455687869069,4.199298262995014
4,2,2623.308411214953,2596.6822429906542,1.3442379297977263,1.3442379297977263,6.193740596260733,5.272455687869069
5,2,3321.355140186916,3288.3271028037384,1.3012187110685511,1.3012187110685511,7.05506785778168,6.193740596260733
6,2,706.5981308411215,699.5327102803739,1.2678754994973431,1.2678754994973431,7.953231296132531,7.05506785778168
7,2,577.324074074074,571.4444444444445,1.253959154920958,1.253959154920958,9.018858595419156,7.953231296132531
8,2,423.4766355140187,419.68224299065423,1.2261529308469425,1.2261529308469425,9.988970078469205,9.018858595419156
9,2,599.2990654205607,592.981308411215,1.2293206677104924,1.2293206677104924,10.72513829060439,9.988970078469205
10,2,429.2710280373832,424.50467289719626,1.258041117289132,1.258041117289132,11.48754368614339,10.72513829060439
11,2,439.89719626168227,435.50467289719626,1.2418203022589673,1.2418203022589673,12.092084039119785,11.48754368614339
12,2,454.7102803738318,450.49532710280374,1.23022060785209,1.23022060785209,12.748421000557512,12.092084039119785
13,2,413.60747663551405,409.3644859813084,1.2596331727668462,1.2596331727668462,13.501331419788942,12.748421000557512
14,2,506.72222222222223,501.93518518518516,1.2994425565779564,1.2994425565779564,14.1931526288167,13.501331419788942
15,2,338.69158878504675,335.4299065420561,1.2382498742678767,1.2382498742678767,14.956788839614688,14.1931526288167
16,2,460.8224299065421,456.5140186915888,1.279868554654993,1.279868554654993,15.829313623743104,14.956788839614688
17,2,333.97196261682245,330.86915887850466,1.2347965163750603,1.2347965163750603,16.715116260578437,15.829313623743104
18,2,568.2523364485982,562.5420560747664,1.2685621009743309,1.2685621009743309,18.154016273702457,16.715116260578437
19,2,323.4485981308411,320.3551401869159,1.27077809545655,1.27077809545655,19.871801050606063,18.154016273702457
20,2,553.925925925926,550.2129629629629,1.4182462285981774,1.4182462285981774,36.47608118563621,19.871801050606063
1,3,4872.226415094339,4820.132075471698,1.5656860707969014,1.5656860707969014,3.180796486470582,0.0
2,3,3879.457943925234,3838.7757009345796,1.4965929750947915,1.4965929750947915,4.199298262995014,3.180796486470582
3,3,1443.5607476635514,1429.214953271028,1.4093033811244198,1.4093033811244198,5.272455687869069,4.199298262995014
4,3,2629.5981308411215,2603.0186915887853,1.3442379297977263,1.3442379297977263,6.193740596260733,5.272455687869069
5,3,3331.1028037383176,3298.96261682243,1.3012187110685511,1.3012187110685511,7.05506785778168,6.193740596260733
6,3,702.8785046728972,695.5981308411215,1.2678754994973431,1.2678754994973431,7.953231296132531,7.05506785778168
7,3,575.0648148148148,569.5925925925926,1.253959154920958,1.253959154920958,9.018858595419156,7.953231296132531
8,3,428.04672897196264,423.50467289719626,1.2261529308469425,1.2261529308469425,9.988970078469205,9.018858595419156
9,3,592.8224299065421,587.0373831775701,1.2293206677104924,1.2293206677104924,10.72513829060439,9.988970078469205
10,3,425.1869158878505,420.95327102803736,1.258041117289132,1.258041117289132,11.48754368614339,10.72513829060439
11,3,440.9252336448598,436.42056074766356,1.2418203022589673,1.2418203022589673,12.092084039119785,11.48754368614339
12,3,454.95327102803736,450.7102803738318,1.23022060785209,1.23022060785209,12.748421000557512,12.092084039119785
13,3,411.85046728971963,408.21495327102804,1.2596331727668462,1.2596331727668462,13.501331419788942,12.748421000557512
14,3,505.0740740740741,500.1203703703704,1.2994425565779564,1.2994425565779564,14.1931526288167,13.501331419788942
15,3,334.2429906542056,330.9626168224299,1.2382498742678767,1.2382498742678767,14.956788839614688,14.1931526288167
16,3,462.29906542056074,457.7196261682243,1.279868554654993,1.279868554654993,15.829313623743104,14.956788839614688
17,3,335.30841121495325,331.9626168224299,1.2347965163750603,1.2347965163750603,16.715116260578437,15.829313623743104
18,3,571.1869158878504,566.1869158878504,1.2685621009743309,1.2685621009743309,18.154016273702457,16.715116260578437
19,3,323.4672897196262,320.2616822429907,1.27077809545655,1.27077809545655,19.871801050606063,18.154016273702457
20,3,549.4444444444445,545.5648148148148,1.4182462285981774,1.4182462285981774,36.47608118563621,19.871801050606063
1,4,4878.424528301887,4827.358490566037,1.5656860707969014,1.5656860707969014,3.180796486470582,0.0
2,4,3874.7570093457944,3835.0467289719627,1.4965929750947915,1.4965929750947915,4.199298262995014,3.180796486470582
3,4,1451.3177570093458,1436.5514018691588,1.4093033811244198,1.4093033811244198,5.272455687869069,4.199298262995014
4,4,2621.336448598131,2594.8971962616824,1.3442379297977263,1.3442379297977263,6.193740596260733,5.272455687869069
5,4,3324.495327102804,3292.663551401869,1.3012187110685511,1.3012187110685511,7.05506785778168,6.193740596260733
6,4,705.7383177570093,698.2242990654206,1.2678754994973431,1.2678754994973431,7.953231296132531,7.05506785778168
7,4,574.8518518518518,569.5555555555555,1.253959154920958,1.253959154920958,9.018858595419156,7.953231296132531
8,4,420.5514018691589,416.5233644859813,1.2261529308469425,1.2261529308469425,9.988970078469205,9.018858595419156
9,4,605.6355140186915,599.3831775700935,1.2293206677104924,1.2293206677104924,10.72513829060439,9.988970078469205
