id,d_emp_p95,d_emp_p5,d_emp_mean,d_real_wage_ratio_p95,d_real_wage_ratio_p5,d_real_wage_ratio_mean,real_wb_mean,real_wa_mean
1,-1437.6499999999999,-1599.1,-1519.62,0.39144316677669777,0.36723322049623025,0.37969450120571635,2.4313875117460753,2.440619360752849
2,-66.0,-100.05,-82.28,0.41736641497700605,0.3166565616437502,0.3650638712950116,1.8559951255606866,1.8627707519526844
3,-67.95,-102.0,-85.37,0.4141026171085453,0.3144261318540561,0.3639258111244738,1.8400113843388488,1.8467075214723265
4,-24.950000000000003,-52.099999999999994,-39.08,0.43509682970615615,0.2725787437524199,0.35399385327587,1.7694074355530767,1.7756709107305229
5,-4.0,-17.0,-10.26,0.5182757833063771,0.21415281134488634,0.36803324989207375,1.437476930400698,1.4427675827459039
6,-48.95,-73.0,-60.44,0.41371622595163177,0.3206850827947371,0.36847765872299065,1.7415364028428855,1.7479539381653586
7,-11.950000000000003,-33.05,-23.28,0.44878359032466253,0.24576398865504015,0.34713966602620067,1.6040916681658095,1.6096600823210376
8,-8.950000000000003,-26.0,-16.46,0.487407277748918,0.25486702769143077,0.3606418576952344,1.5410440148619777,1.5466008686951538
9,-58.95,-96.15,-76.8,0.4233241804748253,0.30185340327259474,0.3600593814481361,1.7977589875688729,1.8042321159292378
10,-43.0,-69.15,-55.68,0.4169600256977664,0.3113319369927762,0.3606890697909087,1.7298639524172588,1.7361031822112367
11,-56.750000000000014,-89.0,-72.52,0.4183078617559282,0.31032711272821195,0.3620409120538007,1.8124856745263003,1.819047912987368
12,-61.95,-101.0,-82.83,0.40798385525225567,0.30027157840436164,0.35762435428287453,1.849724411985303,1.8563394945969909
13,-172.89999999999998,-233.15,-198.26,0.41266217969078206,0.33518101516670884,0.3669539900681593,1.9822351120069714,1.9895091247371848
14,-66.95,-100.0,-82.98,0.42269754764158574,0.3265036137508883,0.3758705975882538,1.790955440537818,1.7976870016259072
15,-52.0,-87.0,-71.34,0.421022197362259,0.3006131872901083,0.3641312968179218,1.7602092491974313,1.7666189027120272
16,-15.0,-37.05,-25.26,0.5303457394474638,0.29082276783532307,0.396235656190901,1.5183922136852916,1.5244085415351754
17,-151.75,-203.0,-177.3,0.4136122630285126,0.34223332654934846,0.37746803527885897,1.901803902726195,1.9089825929507436
18,-747.6500000000001,-854.1,-800.14,0.39639409312953483,0.36468994252353437,0.38000668629009976,2.2407841401960362,2.2492992405857377
19,-7.0,-20.0,-13.15,0.5141280657314612,0.2487253279268767,0.3814825844605763,1.4146070811537284,1.420003204825797
20,-18.0,-39.0,-28.6,0.45384046152120644,0.2775358372837674,0.36978361426026624,1.5714266565809756,1.5772374281017516
21,-55.0,-90.0,-71.82,0.41665160462518835,0.30869775655882,0.360202441097545,1.7416190876973046,1.747892520566589
22,-83.9,-125.05000000000001,-104.1,0.4138851904523013,0.32033083486256614,0.3679704313732764,1.8374584972911656,1.8442198525814568
23,-35.0,-66.05,-52.07,0.42662518767246466,0.28782165560500805,0.36046925952866143,1.721543677035962,1.727749369840848
24,-27.0,-50.05,-38.07,0.42828410511037157,0.28713048146940623,0.3559735660008887,1.7089005526153322,1.7149836027302652
25,-11.900000000000006,-31.05,-21.59,0.4745924318434467,0.2568681863718393,0.3643175617482043,1.5339493896226362,1.5395374127446821
26,-35.95,-63.0,-48.16,0.4430801384941026,0.3057022591670337,0.36788246788562656,1.7079139585509815,1.7141972368814689
27,-61.0,-94.14999999999999,-76.97,0.41573512138556784,0.312120268469936,0.36184134447099653,1.7996036398659585,1.8061154505892187
28,-85.9,-125.10000000000001,-105.71,0.41519593640863756,0.3220163923861643,0.3713099765121123,1.8163679604947562,1.8231123724887328
29,-61.900000000000006,-101.05,-81.13,0.43540022684645535,0.3163854786868305,0.37905758322724015,1.7266172507825783,1.7331623538587146
30,-14.950000000000003,-33.05,-23.85,0.4860748438730229,0.28119238727664264,0.3736459601965081,1.5001981447250194,1.5058037866557972
31,-20.0,-38.050000000000004,-30.38,0.42861345162687703,0.28259830434365396,0.3676845519987683,1.5355839093775707,1.5412296062938173
32,-72.95,-110.05,-92.29,0.42139126082016676,0.3277444396229102,0.37847478925497763,1.750353530727161,1.756978090290435
33,-21.950000000000003,-45.0,-33.19,0.4755645813286984,0.2955595903653207,0.3867902508237379,1.5518647016544125,1.5578671830359576
34,-42.95,-70.05,-58.01,0.4425877469166778,0.3266886769066362,0.3906935374772525,1.6747263312123364,1.6812693810315458
35,-91.0,-132.0,-110.8,0.4393105651268821,0.34150381416972697,0.38970024159493777,1.7976394991644806,1.804644938285335
36,-50.95,-83.14999999999999,-68.22,0.4459557156648724,0.319802210912508,0.3861242506326189,1.6927544971409185,1.6992903568970907
37,-80.0,-113.0,-95.27,0.4449678226673623,0.3548748100315938,0.4003515078726768,1.780579848419002,1.787708422785119
38,-69.0,-106.1,-87.25,0.46149475357338104,0.34640516656076653,0.39957875457340514,1.7453013642278388,1.75227518147218
39,-67.0,-105.05,-86.5,0.4442343961603285,0.33120874473679107,0.391581809900496,1.7524561664217357,1.759318417291879
40,-14.0,-32.0,-22.65,0.49005802731440795,0.2831721514915646,0.3821524174359144,1.4894941956865502,1.4951868995556032
41,-22.950000000000003,-45.0,-33.95,0.46888822356723076,0.30633514680022933,0.38386066498578875,1.5715879508975434,1.5776206838746594
42,-105.75000000000001,-148.04999999999998,-124.71,0.43183747261667704,0.3386055404651095,0.3868109973666277,1.8665040796820358,1.8737237389510932
43,-16.950000000000003,-37.0,-25.73,0.5104650990361173,0.3040767036814377,0.4004723341253955,1.516342288473735,1.5224153174386483
44,-34.0,-57.0,-45.68,0.4442595976830973,0.3164654724987461,0.38468296065216645,1.633496091892162,1.6397801018674116
45,-232.95,-297.09999999999997,-264.19,0.39154721692952943,0.338538809194568,0.36479911563341405,2.068593903041054,2.076140119557387
