wage,realwage
0.0,0.06909527555918545
0.06362942157628938,0.010414845992509011
0.06982409979007922,0.009768925536749884
0.06288036355188877,0.005789348777767239
0.05933629234391288,0.015826287722287037
0.09135478848868216,0.0693460420600821
0.070212830776196,0.013461407155023114
0.0571677031895334,0.015826063496048304
0.07395405132838621,0.026382526321516737
0.06728843877165183,0.011237626849683982
0.06892190638524084,0.010356269197394284
0.07070329535408859,0.011491539457654123
0.06738488117422019,0.012781294189341182
0.061838341482129536,0.011604977671752717
0.1080006567950998,0.0692434927267275
0.18660373436837557,0.164916645319745
0.0730868894937493,0.011622632050495199
0.08388765661038973,0.0401507102889843
0.06225562182849684,0.009178120447930135
0.06211134009244786,0.0064179507835953106
0.06161065425051363,0.013194054037552702
0.06400876520816506,0.006801781994455348
0.07645622081465507,0.019634050358995826
0.06923033296153791,0.030124323647947777
0.10071940068970654,0.04371160408811652
0.06678814163554186,0.01764610468735374
0.06498326480593225,0.005460650695125336
0.06768187058447966,0.005844372103294163
0.07831294728136992,0.040026087542304474
0.06323904790451697,0.02561422183004995
0.0910639371435177,0.055616312075433855
0.05961297876077802,0.01626140121110882
0.06543454605691329,0.00606238176205141
0.061421400110381816,0.017346028038546204
0.05516120123433844,0.03187259966702689
0.0714094392815759,0.006830122731313054
0.09701255197843225,0.05763027496258591
0.06565681091815959,0.002090766715270471
0.06534755073027812,0.013330887324207192
0.07026028639583265,0.016620371073466405
0.0661192401269317,0.02890832300235698
0.07272914982336882,0.020595857497403076
0.0682946089871424,0.009901280051395817
0.06977873246532944,0.0206176950427671
0.0679775024615036,0.009472075500744147
0.07461292867984348,0.029973628553985776
0.07168336554280019,0.02051342559317809
0.0758765701217643,0.02826548838055645
0.06788893723740287,0.015048608568034888
0.053885419040045936,0.028957096421462405
0.06507151861633895,0.011960965631327283
0.0667299632934884,0.01125586987383428
0.0781459772240129,0.061292901021901325
0.06410310085786464,0.014444389369990256
0.05580729858287571,0.044778321566001235
0.06890513715654,0.007743516427707389
0.0701255507935096,0.020954275789001314
0.06334002224464785,0.006136984028615757
0.06262494814100776,0.010906436665933609
0.0656460889015649,0.0035876623241542028
0.0676037490640581,0.003923647629000911
0.06461159967523193,0.0065880298937066005
0.06601149637592504,0.02397713364387527
0.06484890203003024,0.00918363996955387
0.06651937463903683,0.003472697584866529
0.06591297456109865,0.00809239940392896
0.06421613716761616,0.00817606331306195
