id,d_res_p95,d_res_p5,d_res_mean,d_real_rent_ratio_p95,d_real_rent_ratio_p5,d_real_rent_ratio_mean,real_rb_mean,real_ra_mean
1,7.049999999999997,-8.0,-0.02,1.9037084527772503,-0.41429675525447357,0.6800904358045574,16062.479486341166,16170.676911556977
2,7.0,-6.05,-0.06,1.2591705307622485,-0.09498765221957646,0.5414287144626194,8191.552400834417,8235.745433649541
3,6.0,-7.05,-0.66,1.0097199946742572,-0.036735440398387165,0.48933600936523325,7754.785927869557,7792.625359624039
4,10.0,-9.099999999999998,-0.02,1.2257166174068899,-0.0683988352043602,0.5538168315052707,8687.16204848911,8735.058863500797
5,6.049999999999997,-6.0,0.54,1.6065987777598294,-0.3915953447411896,0.6609105972438206,16127.605064038205,16234.069631167033
6,11.099999999999994,-12.0,-0.18,1.1015557968843572,0.049943051635751995,0.5548824021412843,6990.634828275401,7029.270365865298
7,8.049999999999997,-7.05,0.6,1.4768375731606544,-0.14997088135760833,0.6555569490513414,16807.480639984333,16917.544929325468
8,1.0499999999999972,-2.0,-0.09,3.1802183838513844,-2.3598463890541805,0.484177760805702,45967.605915775115,46188.22661625103
9,6.049999999999997,-8.0,0.01,1.2667570224790923,-0.19306484854182115,0.6160025584367965,15675.547946974128,15772.047198833938
10,8.0,-8.0,-0.01,1.7745757220983553,-0.49243955053028693,0.5814377878050386,18257.80885447213,18363.449143487396
11,9.0,-6.0,1.34,1.6265386755703473,-0.0234435542660997,0.7544280228252244,15122.766078031262,15236.43042827389
12,8.049999999999997,-13.0,-0.82,1.2194291558824741,-0.15462877948723902,0.5387368499776555,9530.295306435188,9581.461633682977
13,7.0,-6.0,0.22,2.264743184510021,-0.6316912912942538,0.6866993534730453,20442.461700622243,20581.75639596868
14,7.0,-6.05,-0.24,1.3844713436554965,-0.1953081949920636,0.5544508777202355,15559.044597168297,15645.3790556536
15,7.049999999999997,-8.0,-0.42,1.526811742930144,-0.3560417037612453,0.5423275591284561,16077.953286023985,16164.805619093142
16,3.0,-3.05,-0.25,1.9429248657732945,-1.1428593145839148,0.44052021393856317,32987.734651107516,33132.92829565977
17,5.049999999999997,-6.05,-0.38,2.042944617066092,-1.164118991683344,0.4425307599737339,17546.934024915925,17622.354675022176
18,8.0,-7.05,0.13,1.2873506299801734,-0.10658578889507594,0.6072824375650674,15145.1411778797,15236.801433730787
19,5.0,-6.05,-0.5,1.6433125242544389,-0.7587151039073393,0.4453201162442611,17593.95499181469,17670.971180467186
20,10.0,-8.05,1.54,1.3581540047189848,0.038657817006678814,0.7119169509814006,14047.176059789515,14146.957738975785
21,10.0,-12.0,-0.39,1.094344269477958,0.075357329007327,0.5667266730527873,8095.954503929608,8141.84587331729
22,9.099999999999994,-8.0,0.35,1.4309383667704432,-0.07994119460411066,0.6312619545221937,15404.506923973444,15501.1455954364
23,7.049999999999997,-8.0,-0.92,1.2769521324022053,-0.2579994613447127,0.4518108041912662,11467.680733926396,11519.274537070061
24,6.0,-5.05,-0.63,1.5474717970103598,-0.5374038899410906,0.3716880312222065,17512.90840848447,17577.435874698447
25,8.049999999999997,-7.05,0.37,1.5338656344592365,-0.26087979628586466,0.5955811013774079,11764.168705521108,11833.974961027945
26,7.0,-8.0,-1.12,1.2060967971355105,-0.1935519510661477,0.4230506846442701,11215.496010230483,11262.715425102164
27,7.049999999999997,-7.0,-0.22,1.2002399908834682,0.015158104983390415,0.5643717330694791,10576.17664171609,10635.921401464475
28,9.049999999999997,-9.0,0.03,1.2018944870346584,-0.13141950059449067,0.5452731008653633,12200.484482216023,12267.327139807116
29,4.0,-6.0,-0.67,1.322592794568342,-0.47734409844528514,0.4100494567638879,13803.971019355737,13860.014524216982
30,7.0,-8.05,-1.26,1.183827582786372,-0.38256402774389836,0.36627730893420574,10407.63190155953,10445.696157993554
31,8.099999999999994,-11.0,-0.17,1.2326232966779183,-0.24212422792742683,0.5444950727442837,9176.291754955188,9226.135769682476
32,7.049999999999997,-7.0,0.27,1.6039396612717778,-0.5284741008469304,0.669727660013828,13478.763009242695,13568.765756487224
33,6.0,-8.0,-0.57,1.3543615998098035,-0.5289741202449729,0.46111026637447894,16313.385505506305,16388.688538203896
34,4.0,-4.05,-0.13,1.6464734407668782,-0.8030078688686049,0.4736504009320042,21831.656244492297,21934.26792506718
35,9.0,-10.05,-0.27,1.5373076199048645,-0.4233225328496705,0.5440900589400097,14728.23878305234,14808.244746400927
36,9.049999999999997,-8.05,-0.14,1.2072686284438376,-0.039980240066435205,0.5742122000491068,10728.748038710957,10790.131948318924
37,7.099999999999994,-11.05,-1.47,1.052839295900682,-0.17367581430229265,0.48621723677236944,12549.923780054758,12610.924325675727
38,7.049999999999997,-8.0,-0.13,1.2327311274060095,-0.23380568230937204,0.5687503593449166,12093.99514899446,12162.34406999569
39,9.0,-9.0,0.05,1.4275707231153136,-0.2037775202111128,0.6248164792417593,15732.726140518507,15830.382219910332
40,12.049999999999997,-9.0,0.99,1.4676453257640165,-0.0805260182981857,0.6624682054279261,13097.093912397651,13183.787229348492
41,8.0,-8.0,0.06,1.4607697880786812,-0.2785372868618962,0.5909754093076932,12677.799433069327,12752.44763760123
42,10.049999999999997,-11.0,-0.04,1.2985077974960948,-0.05150056590844427,0.6038319109202337,12153.591182730086,12226.861628455383
43,7.0,-8.0,-0.33,1.2477759132656847,-0.1635025629126732,0.5387926675513285,11174.410823439732,11234.34778851593
44,5.049999999999997,-5.0,0.52,1.586545931518276,-0.26932516409239704,0.6779817142982577,20720.02939414781,20860.428183882552
45,8.0,-8.0,-0.32,1.1827462347003728,-0.09958308012875926,0.516616592262212,10727.836384056127,10783.176743310285
46,7.049999999999997,-8.0,0.2,1.5223873951064366,-0.44288883408168994,0.6083162719148566,17366.474334617644,17472.037373564457
47,7.0,-7.05,-0.17,1.3662651065139477,-0.23613371331012123,0.5535420635732725,10320.820879064213,10377.646103639676
48,9.0,-8.0,0.39,1.3875851468170506,-0.17704130394329787,0.6106732695839899,14335.13152693888,14422.890249917764
49,7.0,-9.0,-0.41,1.1850496437906977,-0.10955343196377144,0.5728947167315661,10884.742884148744,10946.957339049943
50,5.0,-5.0,-0.11,1.6697401881644456,-0.5011531970314539,0.5696511905768699,23200.244038269717,23331.14707717434
51,10.049999999999997,-9.0,0.11,1.2889138911923526,-0.09382312848435906,0.5441458226520847,9267.722836879924,9318.18040185977
52,8.049999999999997,-9.049999999999999,0.81,1.19704940745289,-0.0982262375622518,0.6283291021970583,13597.638068896851,13682.903948532407
53,9.049999999999997,-9.049999999999999,-0.49,1.292283509956351,-0.1590957538952797,0.5435405129590791,12744.70098003276,12813.964815689933
54,6.0,-6.0,0.17,1.4043555519083593,-0.30726566158426305,0.6185290259403976,11391.917272132698,11462.03325180219
55,8.0,-8.05,-0.21,1.1867179099171397,-0.1763592486699658,0.5185705197538227,11669.366610278985,11729.599217877485
56,5.0,-9.0,-0.85,1.117078207990011,-0.3147771714799214,0.508396673633648,8641.232814210238,8685.31033770144
57,7.049999999999997,-11.100000000000001,-0.94,1.098359110610313,-0.3750545599508684,0.40676805869729094,11879.465984680854,11927.728769110909
58,5.049999999999997,-7.0,-0.4,1.127780610339077,-0.4978874852634786,0.403961518358999,14142.066148352644,14199.366465014722
59,6.049999999999997,-8.0,-0.35,1.2933156323442216,-0.21291066682253804,0.5803393706293977,7604.950538077058,7648.826984191481
60,9.0,-10.05,0.03,1.368604858072032,-0.06159820424980125,0.6810983400091096,9036.877565822511,9098.28574955478
61,8.0,-7.05,-0.06,1.0394748065753436,-0.048947634990305786,0.46209216204290804,7341.460379881345,7375.315787570311
62,7.0,-6.0,-0.38,1.4105683075600606,-0.2868501513383596,0.5156384758343058,11495.843652154366,11555.600767688979
63,10.0,-11.0,-1.2,1.315255515816041,-0.2634224625096313,0.5222377203248824,8861.388765683178,8907.749133646807
64,1.0,-1.0,0.0,13.317087656691388,-7.624986550535325,0.958748153852001,118319.86110361853,119067.17730525315
65,5.0,-7.0,-1.27,1.07445108908338,-0.4101540425323667,0.34146635146479176,12013.390956372632,12054.417664033463
66,5.0,-6.0,-0.43,1.4436185450068908,-0.6153109204038082,0.3996168004829936,12979.499779848016,13031.199189543706
67,9.0,-9.0,0.31,1.2660324299849481,-0.1924796190751803,0.551175820295806,7521.600871436141,7562.953328840966
68,10.0,-11.0,-0.51,1.353385779172151,-0.2539278989196162,0.5166320833204358,13222.979451439316,13291.467066710202
69,6.0,-7.0,-0.24,1.308850658146944,-0.37164003543084895,0.5092737865698254,17172.968812050894,17260.83864349653
70,5.0,-4.05,-0.28,1.8940668144953927,-0.4192153712689356,0.5231816663634266,22870.05580096932,22989.90298978138
71,8.0,-7.0,0.57,1.4715495942968313,-0.2637117854491244,0.6269698002935922,14626.420044006672,14718.03118239061
72,7.0,-7.0,-0.14,1.4381328053462934,-0.38528007027700606,0.5725248638180355,16649.536408204716,16744.57993573034
73,5.0,-6.0,-0.17,1.5194440043763369,-0.30029383012751765,0.5910694566797624,20596.638704718225,20718.150139012345
74,7.049999999999997,-5.05,0.51,1.5433187499162335,-0.21491312885521266,0.6450113152642024,17654.095655589354,17768.516947265594
75,4.0,-4.0,-0.14,1.7686076758612057,-0.6371796917599253,0.46570490524026603,15512.079369326386,15582.963202078694
76,7.0,-9.0,-0.04,1.2628177347378429,-0.23252032762192495,0.5661878732861642,14209.257657390088,14289.33464141821
77,11.0,-11.100000000000001,0.42,1.1616575855440754,-0.1699760414492579,0.5579043127070856,7085.11961664606,7124.538360407592
78,10.049999999999997,-10.0,-0.1,1.2641519437099953,-0.09081519751540838,0.5815543754348179,12157.133681914278,12227.535881211865
79,7.0,-7.0,0.89,1.5477065807344235,-0.26147790206050375,0.6756845269019547,15166.511574294542,15268.775461730907
80,9.0,-6.05,1.04,1.5581508201715446,-0.19293363790101475,0.6842644893639728,8821.971205234173,8882.213517584933
81,5.0,-7.0,-0.35,1.2331674723327841,-0.34999802273244063,0.5123515813286724,16922.2697716716,17009.056009171924
82,4.0,-3.05,0.05,2.2784806292853363,-0.947602174473602,0.6134214215717547,30140.973458712935,30323.042580760157
83,11.0,-10.0,-0.14,1.2246350512442368,0.023055078400117293,0.5714885579562985,8225.646046200442,8272.537459169624
84,7.0,-8.05,-0.29,1.1083490984036923,-0.23851181337272634,0.47076768964088667,11251.268733451001,11304.13296397794
85,9.099999999999994,-7.0,-0.1,1.2770335500074341,-0.14512167137896093,0.49543357822777545,10469.787317928593,10521.726738889849
86,7.049999999999997,-7.0,-0.28,1.141843834183472,-0.12079635377593238,0.5067779269797752,10978.028209723247,11033.564509379985
87,6.049999999999997,-7.05,-0.2,1.3302073545151956,-0.3331891516492349,0.473908845156371,12197.345818090296,12254.77798376689
88,8.0,-9.0,-0.46,1.1086935650606815,-0.21845984213835523,0.4279524801176068,10819.950180961865,10865.972159021192
89,9.0,-6.05,0.73,1.6553017048796896,-0.18128191007858688,0.6997576082983227,10742.681292684389,10817.64037297587
90,6.049999999999997,-7.0,-1.11,1.2098125653899459,-0.31563721994600713,0.3693036563190634,12765.82856828829,12812.661935632917
91,6.0,-6.0,-0.51,1.4263177406245668,-0.41619859547586463,0.47126555201372583,14165.028465863063,14231.631461069288
92,6.049999999999997,-6.0,0.29,1.2823779206461647,-0.1414258268907673,0.5964914810957094,11644.88778642544,11714.102537997189
93,5.0,-7.0,-0.35,1.859693085450449,-0.9662673718053171,0.5608431299763156,13696.900280417101,13772.861860631177
94,6.0,-6.05,-0.22,1.3148563232055095,-0.39166190144124063,0.4864580430950842,14919.830084786583,14992.002796436916
95,8.0,-9.0,-0.31,1.2582769888120648,-0.24286987207807914,0.4775434786002157,8005.780432137682,8043.966768726434
96,8.0,-8.0,-0.23,1.3592370796634325,-0.17364168171639027,0.551700828629918,14223.582167024899,14301.866809254421
97,5.049999999999997,-6.05,-0.19,1.2870727852432853,-0.45358941598628255,0.47510018376980623,14711.260345424427,14781.387173923089
98,3.0,-2.0,0.14,4.052049350077471,-1.5581574355436925,0.7910574419080583,38450.310586054555,38742.81717539972
99,4.0,-6.05,-0.78,1.5578415081945622,-0.7778304143435633,0.36390113115463973,16369.699182185037,16428.550963327383
100,5.0,-5.0,0.01,1.9095903183710472,-0.7201623189645501,0.6101594245151456,21157.381760649838,21286.61731378294
101,6.0,-7.0,-0.05,1.5299326419060297,-0.3885647316206864,0.5820537931279687,12042.589200583949,12112.401775913306
102,6.0,-5.05,0.31,1.799542767961649,-0.35621877832586174,0.6591967236071876,16480.60820200305,16589.021475129073
103,6.049999999999997,-5.0,0.35,1.8582849156052847,-0.5633550901493234,0.6565775253409853,16949.857483323998,17060.66516851522
104,2.0,-2.0,-0.09,2.8641674787044122,-2.120467589196069,0.46214377069730206,41188.93847667922,41369.25218211771
105,8.0,-8.05,0.3,1.1695681636526603,-0.05122096056858671,0.5816930255586481,13123.960536629042,13199.931463459832
106,9.0,-9.049999999999999,-0.18,1.1956809888706448,-0.015050021575334638,0.5684672468993119,11200.719129361054,11264.416637738028
107,9.049999999999997,-6.05,0.07,1.662152088264377,-0.2701433281743154,0.5597273654792363,14913.793309234165,14996.661251526784
108,7.049999999999997,-8.0,-0.54,1.4543467858055519,-0.3627516835790351,0.5369284247940699,13757.53483983897,13831.01854175023
109,9.0,-9.0,-0.16,1.3945015437299653,-0.2528827046852509,0.5755447962770034,13305.108130765228,13381.577354560492
110,6.0,-6.0,-0.18,1.2787566121270588,-0.20408833551912303,0.5147984545281912,16769.304590314292,16856.007643614026
111,5.0,-6.0,-0.07,1.4067147828675686,-0.363780270206558,0.5173960578902591,18391.919841034,18487.18426005913
112,7.049999999999997,-8.05,-0.78,1.1520828610157363,-0.11337796075034547,0.49817711802539144,13658.257749547402,13726.237787824559
113,8.049999999999997,-8.05,0.18,1.3562001407664968,-0.06284792254320334,0.5743387287254652,14518.760416793464,14602.227272421089
114,7.0,-8.05,-0.34,1.450588446729293,-0.273299753311507,0.5439000622121981,16381.612623315023,16470.47304474099
115,7.0,-8.05,-0.51,1.1717888437470294,-0.22691376071875843,0.5273607596056231,9857.035354342275,9908.72892240504
116,11.0,-8.05,0.09,1.2196055898024527,0.07610799938622405,0.5631718406882313,10437.210690431697,10495.90842367464
117,12.0,-11.100000000000001,0.18,1.3029175736552256,-0.033942510965680774,0.6047678959269805,10937.418170560632,11003.40085897774
118,9.0,-9.0,-0.08,1.2733364103313562,-0.11971240446304564,0.5613983349713455,11247.753965082646,11311.020527983283
119,7.0,-6.0,0.27,1.768495947486841,-0.567656728590988,0.607849972956095,14189.86650490275,14275.061586451477
120,13.0,-10.05,0.39,1.3361601964411498,0.08940638114595571,0.6214452345145562,10077.116731736442,10139.75396900294
121,11.099999999999994,-9.0,0.57,1.362332117430811,0.09316477023176918,0.6799759562095931,9909.55829206027,9976.771154768621
122,9.149999999999991,-10.05,-0.98,1.0854311523685922,-0.023354193782024114,0.45927805129743526,8572.341253474966,8611.764194785597
123,7.0,-8.0,-0.34,1.1501204235222744,-0.2512597191310463,0.4946781200101951,9439.130282911075,9485.745563091663
124,6.049999999999997,-8.0,-0.28,1.2428558657884408,-0.2973236235591146,0.5133656761210462,10396.03429998838,10449.431101012522
125,4.049999999999997,-7.0,-0.67,1.3608609597074623,-0.644643973247853,0.4751500489530042,13851.327458122347,13916.764244323413
126,5.049999999999997,-6.05,-0.6,1.267917743912662,-0.27319964352215836,0.4550860248822839,10472.567945541356,10520.126871802619
127,9.0,-9.049999999999999,-0.44,1.399779864105961,-0.2528606276186015,0.5368671562074502,9844.311128697074,9897.419280318927
128,5.0,-7.0,-1.0,1.0797871432055883,-0.3893773232098014,0.3404297653184872,11579.633366797432,11618.705191897028
129,6.049999999999997,-6.0,0.46,1.3939237579541803,-0.16560979509360682,0.6076377879213862,13686.57574450489,13769.472548425832
130,9.0,-9.0,0.01,1.3868632092738418,-0.1785740369469171,0.5826257362026773,13778.14505523747,13858.215169452187
131,11.0,-11.0,0.66,1.1399277564256598,0.07637678842811385,0.5951248003299772,8161.675026943454,8210.2224125357
132,11.0,-15.0,-1.4,0.9819980483025023,-0.02869248010442159,0.5041375677998086,7137.771865645643,7173.698668367675
133,8.049999999999997,-8.05,-0.01,1.3474889551206637,-0.10561418283579976,0.6046925451833394,11901.12427489738,11972.841125861705
134,10.0,-12.05,-0.49,1.2244646054248982,-0.12974224710293214,0.5588818330387619,10336.35379009758,10393.986516059858
135,5.0,-6.0,-0.4,1.9945705813980896,-1.06133628631373,0.4951844411268803,20604.467439600863,20705.72047294815
136,8.0,-9.0,-0.88,1.193901067702182,-0.21520072547122243,0.4941591380710952,11337.028083408775,11392.861001976398
137,7.049999999999997,-8.0,-1.01,1.499298535717942,-0.3961835450924264,0.4530014575919985,13313.592974697563,13373.9787046557
138,6.049999999999997,-9.149999999999999,-0.77,1.0338374351875694,-0.09570402265377229,0.5454133896014592,9926.319227501079,9980.38808612301
139,7.0,-8.1,-0.6,1.2000964409470989,-0.2786870217306639,0.49126568011197264,11484.090420702192,11540.46612414152
140,10.0,-10.05,-0.77,1.1309367794031322,-0.06478382889017027,0.5264150398360029,8917.033125132808,8963.765055479507
141,8.0,-7.05,-0.16,1.3616366132276212,-0.12470861410694838,0.5370135489021888,13729.184512848378,13802.303914230599
142,8.0,-6.0,0.47,1.034754466668478,0.10786295021607324,0.5668981955956061,10391.334667459252,10450.274212131637
143,5.0,-7.0,-0.25,1.8000878052763298,-1.0947290204067777,0.50707508825195,23569.25127914065,23686.999425851485
144,5.0,-5.0,-0.2,1.7654640991617605,-0.5709858258940467,0.5297089705543029,22579.301034582226,22697.26565033465
145,7.0,-7.0,-0.48,1.46291879957408,-0.3514279025260825,0.511068215934549,16684.462038879195,16770.030286202804
146,7.0,-7.05,0.0,1.1727918358248857,-0.21261458547391193,0.5272814295210039,13398.751047505533,13469.137249254774
147,6.0,-8.05,-1.27,1.0933691303480415,-0.3479932563567765,0.3829429451915559,12180.360305976721,12226.946234402712
148,9.049999999999997,-9.0,0.1,1.3014107631718648,-0.23262841193163006,0.5484704365260444,12864.624696817024,12935.055651379043
149,7.0,-6.0,-0.18,1.3975996551172458,-0.3571803135870905,0.5007085396176116,15231.829600690995,15308.313159166908
150,9.0,-7.0,0.99,1.6277000369798724,-0.22087809718681653,0.7144419428991963,12756.423932753229,12847.530314965838
151,7.049999999999997,-10.0,-0.77,1.221365575567994,-0.3765128845797189,0.45580797303373943,11701.942063815532,11755.484994869646
152,10.049999999999997,-10.0,0.28,1.1877695699856483,-0.18102058759655204,0.5210956001118392,9402.914894334786,9451.930469989427
153,7.099999999999994,-9.049999999999999,-0.48,1.190351668630509,-0.38499291053968077,0.4462335755140239,10789.89157385913,10837.833204775843
154,5.049999999999997,-5.0,-0.12,1.3276032786972256,-0.35613626119211533,0.4851205655114328,15160.340965009062,15233.994186150678
155,5.0,-6.0,-0.66,1.3985903872916214,-0.6464122187103385,0.3394898948350086,15588.64629412323,15640.40796192865
156,7.049999999999997,-10.0,-1.03,0.9311602822158696,-0.23365617764133573,0.38860378604551343,7516.979380541291,7546.073318478074
157,8.049999999999997,-8.0,0.2,1.1454373628293246,-0.1309659794376762,0.5066372850334051,9783.173743665337,9832.583200924548
158,6.049999999999997,-7.0,-0.73,1.2894083120669029,-0.36771684361241685,0.39108545424374214,12811.576158922258,12861.521165461581
159,7.0,-8.0,-0.14,1.542882103997132,-0.5461306452455106,0.5084429784750071,14761.914212065309,14837.00960382225
160,5.0,-5.0,0.21,1.847515377695283,-0.7197697773685569,0.6174860862164109,20978.53231172299,21107.709730594306
161,6.0,-6.05,-0.27,1.537555650111929,-0.4452184207683272,0.4665620662192538,16033.448095343627,16107.750010371867
162,8.049999999999997,-7.05,0.05,1.3631860904922297,-0.22011086961249404,0.5864150117812342,14397.156125916701,14480.967709323151
163,6.0,-6.05,-0.53,1.3174691023604335,-0.2742202190182529,0.44934219977625445,16368.2603236515,16441.29081159463
164,7.049999999999997,-8.0,-0.32,1.387188797978238,-0.27291173555492054,0.5274495729287966,15185.02923855509,15264.760092691402
165,7.049999999999997,-7.0,0.01,1.2879768633449462,-0.15912418408841,0.5414142435786168,14692.004687587008,14771.465757989074
166,6.0,-5.05,-0.27,1.6573360411628184,-0.5682850367873966,0.4649918603466487,18907.223890193076,18995.23343282669
167,4.0,-3.0,0.05,2.0236258813351147,-0.705138030077582,0.513546932413788,27085.47133551187,27221.56503530297
168,6.049999999999997,-8.0,-0.17,1.1271954296439357,-0.33403167552459,0.4864299862778158,13455.083725267132,13520.616027299891
169,9.049999999999997,-7.0,0.13,1.5939753715136218,-0.3548184135288456,0.5330947683909357,14267.671025240677,14343.578843129018
170,5.049999999999997,-7.0,-0.6,1.1382510792068985,-0.5147336236029723,0.39793134173196826,13655.223937876824,13709.27646440475
171,8.0,-10.1,-1.48,1.0187844539824977,-0.1199864842710773,0.4122736320312306,10213.494849576127,10255.65147087959
172,7.0,-6.0,-0.04,1.3232603728079908,-0.18826971217948618,0.543321595073461,14392.63629524778,14470.558252893763
173,9.049999999999997,-10.0,-0.75,1.3050608907067291,-0.2139168611915591,0.49686407855436604,10987.466449741813,11041.86901986535
174,11.049999999999997,-7.05,0.53,1.3818306688560416,-0.017519466691825605,0.6368583667571336,10963.786890056115,11033.681114772342
175,7.0,-6.0,0.27,1.758312904740691,-0.39485595860470435,0.5878713592409774,15139.344584106964,15227.927162020087
176,8.049999999999997,-8.05,-0.05,1.4531568975595084,-0.2885655159975867,0.5867929087644336,13041.404886028608,13117.701560250967
177,8.0,-6.05,0.28,1.6096142299469518,-0.24932993436915954,0.6062418189881704,15128.49868445938,15220.25418774107
178,5.0,-5.05,-0.42,1.4214083411459506,-0.4355522930247233,0.4929235886839265,18234.354748138634,18323.918623673697
179,6.0,-6.05,0.05,1.4526181169467058,-0.39114017386310235,0.5232437626162775,17424.44813992214,17515.641460093488
180,7.0,-5.05,0.71,1.5659625889758435,-0.16274012619107867,0.666552294606719,15128.48505693357,15229.205596460137
181,3.0,-2.0,0.24,3.7736828733781347,-0.9152893080353345,0.8818050296684897,37806.8381161536,38132.377827057266
182,5.049999999999997,-7.0,-0.49,1.3468363805992902,-0.513625238555423,0.5164216107022005,15416.520267365391,15495.810138734909
183,8.0,-9.0,-0.7,1.0702696080202367,-0.13867188398035182,0.46260708419735314,10360.943645477517,10408.966569990896
184,6.049999999999997,-7.0,0.09,1.4136918783396726,-0.425809327207242,0.5313069570919391,14088.406449195474,14162.995697449212
185,9.049999999999997,-7.05,0.68,1.2309523866280543,0.0038107578067931684,0.6123527780233691,11582.077578839653,11653.090130160266
186,5.0,-7.0,-0.8,1.5896845618549373,-0.7936021866668188,0.36769511695572044,15776.490344996108,15833.7701418851
187,9.049999999999997,-10.05,-0.12,1.3834890941857219,-0.2615354965530262,0.6007308769304344,12519.468494333432,12594.715261624176
188,6.0,-5.05,0.22,1.7588558966471808,-0.604222147344229,0.5716053754951372,15996.134517319924,16087.870219894441
189,6.0,-4.0,0.33,1.7298155038818883,-0.4616062025847854,0.5908704998325442,19843.09759792024,19959.980062178987
190,5.049999999999997,-5.05,0.45,1.585332604630664,-0.6811061575880408,0.6279396430263811,17660.13232191287,17770.83283541498
191,10.049999999999997,-9.049999999999999,-0.08,1.2511392023297525,-0.11923530626167518,0.5569242314068209,11139.354983504061,11201.40473627153
192,8.0,-9.0,-1.2,1.098359020801382,-0.04637039949122496,0.4908767343789899,9233.622104330361,9278.917904987913
193,9.049999999999997,-8.05,0.3,1.1797420804777983,-0.08699211357126657,0.585065970599259,11557.795893109023,11625.330526680553
194,8.0,-8.0,-0.54,1.461379818567177,-0.4181837733289101,0.4782909050132665,12828.767965393276,12890.326807798678
195,10.049999999999997,-10.0,-0.42,1.1592973736157968,-0.045031757754649376,0.5261930581169885,9153.966927333093,9202.10831962646
196,8.0,-6.0,0.5,1.7016430078958393,-0.2261592442332437,0.6181210451804205,14718.784178708598,14809.713409729375
197,10.049999999999997,-11.0,0.36,1.1661958897378817,-0.06602087121495011,0.5662670249270181,9769.200337196387,9824.44163766075
198,7.0,-6.0,-0.25,1.2338586630854604,-0.1388670345816634,0.484206030107442,13394.951355850699,13459.842881574637
199,8.0,-9.0,-0.77,0.899805811801423,0.06752936401689599,0.48785936018771414,8831.42685059789,8874.431378624002
200,7.049999999999997,-9.049999999999999,-1.32,1.1419917126922896,-0.16526818455910408,0.4816619284413747,8553.64164538288,8594.841794938404
201,5.049999999999997,-7.0,-0.87,1.3157208661175004,-0.2563494602578095,0.46564356743752666,10110.779845167568,10157.727680455668
202,1.0499999999999972,-2.0,0.0,2.2807413414483793,-2.3291173299840087,0.5647094358708697,39628.9755441077,39854.49334034514
203,9.0,-6.05,0.64,1.2295386402107091,-0.0064110810134092215,0.5852616741617803,11561.709029426751,11629.368030535366
204,8.0,-10.05,0.39,1.0041525183697912,-0.02835044908685383,0.5481182282542205,9109.543630020464,9159.588201889703
205,7.0,-6.05,0.03,1.3577084187514006,-0.1531704007689031,0.5737845046337198,11882.723433230323,11950.785121895147
206,5.0,-6.05,-0.69,1.2020580643005996,-0.28530596045490303,0.4363241059315385,15581.513357793148,15649.318898191268
207,3.0,-3.05,-0.34,2.030635006370212,-1.107680870125876,0.35664337256849016,21952.26360681301,22029.282586836853
208,9.0,-7.0,0.66,1.6102616252067474,-0.25368562026427366,0.6172349913591022,12900.883232260847,12980.448606573094
209,4.049999999999997,-4.0,0.07,1.7756171694274854,-0.5588865020904691,0.5805481628570406,18646.833889731097,18754.04988030905
